shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1001,30.28207692722461,-97.74365994857547,1
1001,30.28207906058781,-97.74318942800294,2
1001,30.28189468368555,-97.74277077765419,3
1001,30.28131764857547,-97.74288151070515,4
1001,30.28071530586236,-97.74296186360398,5
1001,30.28062392586869,-97.74234876376237,6
1001,30.28051979131191,-97.74182258048876,7
1001,30.28043302720825,-97.74124651412748,8
1001,30.28073046851082,-97.74073543617351,9
1001,30.28121918382232,-97.74054707282829,10
1002,30.28139050269485,-97.74059253327899,1
1002,30.28077808693784,-97.7418509370272,2
1002,30.27980988147349,-97.7424118636479,3
1002,30.27977640843019,-97.74304501184477,4
1002,30.28080214509161,-97.74313955847944,5
1002,30.28193770829971,-97.74260003684027,6
1002,30.28226169984384,-97.74363645202961,7
1003,30.2794557171168,-97.74128366262565,1
1003,30.27963169764892,-97.74215379797484,2
1003,30.27995395639353,-97.74298527806847,3
1003,30.28007502921988,-97.74368506101328,4
1003,30.28027986204355,-97.74430470307352,5
1003,30.28027986204355,-97.74430470307352,6
