route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,
1,1000,10011,EASTBOUND,,0,,1001
1,1000,10012,EASTBOUND,,0,,1001
1,1000,10013,EASTBOUND,,0,,1001
1,1000,10014,EASTBOUND,,0,,1001
1,1000,10015,EASTBOUND,,0,,1001
1,1000,10016,EASTBOUND,,0,,1001
2,1000,10021,WESTBOUND,,1,,1002
2,1000,10022,WESTBOUND,,1,,1002
2,1000,10023,WESTBOUND,,1,,1002
2,1000,10024,WESTBOUND,,1,,1002
2,1000,10025,WESTBOUND,,1,,1002
2,1000,10026,WESTBOUND,,1,,1002
2,1000,10027,WESTBOUND,,1,,1002
3,1000,10031,WESTBOUND,,1,,1003
3,1000,10032,WESTBOUND,,1,,1003
3,1000,10033,WESTBOUND,,1,,1003
